"Quarter","Sales","Quarter_dummy","cocacolaQ1","cocacolaQ2","cocacolaQ3","cocacolaQ4","t","log_Sales","t_square"
"Q1_86",1734.82699966431,"Q1",1,0,0,0,1,7.45866297540034,1
"Q2_86",2244.96099853516,"Q2",0,1,0,0,2,7.71644342743532,4
"Q3_86",2533.80499267578,"Q3",0,0,1,0,3,7.83747740159611,9
"Q4_86",2154.96299743652,"Q4",0,0,0,1,4,7.67552883182733,16
"Q1_87",1547.81899642944,"Q1",1,0,0,0,5,7.34460211994197,25
"Q2_87",2104.41199493408,"Q2",0,1,0,0,6,7.65179136977107,36
"Q3_87",2014.3629989624,"Q3",0,0,1,0,7,7.60805829485411,49
"Q4_87",1991.74699783325,"Q4",0,0,0,1,8,7.59676742095835,64
"Q1_88",1869.04999923706,"Q1",1,0,0,0,9,7.53318555896347,81
"Q2_88",2313.63199615479,"Q2",0,1,0,0,10,7.74657386146546,100
"Q3_88",2128.31999969482,"Q3",0,0,1,0,11,7.66308821495267,121
"Q4_88",2026.82899856567,"Q4",0,0,0,1,12,7.61422778106092,144
"Q1_89",1910.60399627686,"Q1",1,0,0,0,13,7.55517469946821,169
"Q2_89",2331.16499328613,"Q2",0,1,0,0,14,7.75412341872135,196
"Q3_89",2206.54999542236,"Q3",0,0,1,0,15,7.69918548670007,225
"Q4_89",2173.96799468994,"Q4",0,0,0,1,16,7.68430934571903,256
"Q1_90",2148.27799987793,"Q1",1,0,0,0,17,7.67242186991634,289
"Q2_90",2739.30799865723,"Q2",0,1,0,0,18,7.91546061225008,324
"Q3_90",2792.75399780273,"Q3",0,0,1,0,19,7.93478348394317,361
"Q4_90",2556.00999450684,"Q4",0,0,0,1,20,7.84620272570372,400
"Q1_91",2480.97399902344,"Q1",1,0,0,0,21,7.81640650359796,441
"Q2_91",3039.52299499512,"Q2",0,1,0,0,22,8.0194558725476,484
"Q3_91",3172.11599731445,"Q3",0,0,1,0,23,8.06215415122685,529
"Q4_91",2879.00099945068,"Q4",0,0,0,1,24,7.96519863776414,576
"Q1_92",2772,"Q1",1,0,0,0,25,7.92732436030979,625
"Q2_92",3550,"Q2",0,1,0,0,26,8.17470288246946,676
"Q3_92",3508,"Q3",0,0,1,0,27,8.16280135349207,729
"Q4_92",3243.85999298096,"Q4",0,0,0,1,28,8.08451925554344,784
"Q1_93",3056,"Q1",1,0,0,0,29,8.02486215028641,841
"Q2_93",3899,"Q2",0,1,0,0,30,8.2684753889826,900
"Q3_93",3629,"Q3",0,0,1,0,31,8.19671240721307,961
"Q4_93",3373,"Q4",0,0,0,1,32,8.12355783506165,1024
"Q1_94",3352,"Q1",1,0,0,0,33,8.11731246160197,1089
"Q2_94",4342,"Q2",0,1,0,0,34,8.37609035043824,1156
"Q3_94",4461,"Q3",0,0,1,0,35,8.40312823512826,1225
"Q4_94",4017,"Q4",0,0,0,1,36,8.29829063435928,1296
"Q1_95",3854,"Q1",1,0,0,0,37,8.25686684897431,1369
"Q2_95",4936,"Q2",0,1,0,0,38,8.50431056558522,1444
"Q3_95",4895,"Q3",0,0,1,0,39,8.49596955496461,1521
"Q4_95",4333,"Q4",0,0,0,1,40,8.37401542173991,1600
"Q1_96",4194,"Q1",1,0,0,0,41,8.34141021146186,1681
"Q2_96",5253,"Q2",0,1,0,0,42,8.56655462095396,1764
